Albania,Hoxha,imam
Austria,Huber,landowner
Belarus,Кавалёў,smith
Belgium,De Smet,smith
Bosnia and Herzegovina,Hodžić,imam
Bulgaria,Попов,priest
Croatia,Kovačević,smith
Czech Republic,Dvořák,landowner
Denmark,Møller,miller
Estonia,Sepp,smith
Finland,Kinnunen,skinner
France,Lefebvre,smith
Germany,Müller,miller
Greece,Παπαδόπουλος,priest
Hungary,Kovács,smith
Ireland,Murphy,sea-warrior
Italy,Ferrari,smith
Kosovo,Hoxha,imam
Latvia,Kalējs,smith
Lithuania,Kavaliauskas,smith
Luxembourg,Schmit,smith
Macedonia,Поповски,priest
Moldova,Ceban,shepherd
Montenegro,Popović,priest
Netherlands,Bakker,baker
Norway,Møller,miller
Poland,Kowalski,smith
Portugal,Ferreira,smith
Romania,Popa,priest
Russian Federation,Кузнецов,smith
Serbia,Поповић,priest
Slovakia,Kováč,smith
Slovenia,Kovačič,smith
Spain,Molina,miller
Sweden,Möller,miller
Switzerland,Müller,miller
Turkey,Avcı,hunter
Ukraine,Мельник,miller
United Kingdom,Smith,smith
